Document,Token,Frequency,Weight
5,histor,1,0.17
5,develop,1,0.07
5,public,3,0.28
5,abstract-publish,1,0.32
5,industri,2,0.25
5,especi,1,0.16
5,unit,1,0.12
5,state,1,0.11
5,need,1,0.08
5,standard,1,0.12
5,prepar,4,0.52
5,evalu,2,0.19
5,product,1,0.12
5,topic,2,0.31
5,call,1,0.14
5,text,2,0.25
5,section,1,0.18
5,contain,1,0.14
5,instruct,2,0.36
5,write,1,0.16
5,variou,1,0.11
5,edit,1,0.15
5,detail,1,0.12
5,supplement,1,0.2
5,exampl,1,0.12
5,exercis,1,0.21
5,appendix,1,0.23
5,brief,1,0.18
5,discus,2,0.16
5,index,1,0.08
5,research,5,0.35
5,autom,1,0.15
5,ha,3,0.2
5,treat,1,0.17
5,extens,1,0.16
5,thi,3,0.13
5,work,1,0.08
5,believ,1,0.17
5,deserv,1,0.24
5,greater,1,0.16
5,emphasi,1,0.15
5,receiv,1,0.15
5,past,1,0.14
5,comput,2,0.18
5,use,2,0.1
5,becom,1,0.12
5,increasingli,1,0.17
5,import,1,0.1
5,aspect,1,0.12
5,librarianship,1,0.15
5,much,1,0.13
5,effort,1,0.12
5,expend,1,0.22
5,computer-prepar,1,0.32
5,extract,2,0.39
5,student,1,0.13
5,librarian,2,0.2
5,abstractor,2,0.54
5,benefit,2,0.34
5,know,2,0.35
5,understand,1,0.14
5,program,1,0.1
5,analyz,1,0.12
5,select,1,0.1
5,key,2,0.33
5,sentenc,1,0.2
5,segment,1,0.21
5,inform,2,0.1
5,opportun,2,0.39
5,avail,1,0.11
5,full-tim,1,0.26
5,profession,1,0.13
5,part-tim,1,0.29
5,volunt,1,0.29
5,worker,1,0.18
5,mani,1,0.09
5,find,1,0.11
5,activ,1,0.11
5,pleasant,1,0.32
5,reward,1,0.2
5,contribut,1,0.14
5,effect,1,0.1
5,store,1,0.17
5,one,1,0.07
5,chapter,1,0.15
5,devot,1,0.17
5,career,1,0.21
6,academ,1,0.42
6,librari,3,0.56
6,build,2,1.07
6,guid,1,0.51
6,architectur,2,1.79
6,issu,1,0.49
6,solut,3,1.44
6,thi,1,0.15
6,book,1,0.26
6,attempt,2,0.74
6,present,2,0.5
6,repres,1,0.41
6,exampl,2,0.79
6,success,1,0.48
6,import,1,0.34
6,problem,1,0.25
6,librarian,1,0.33
6,architect,1,0.9
6,face,1,0.54
6,plan,1,0.4
6,new,1,0.28
6,colleg,1,0.49
6,univers,1,0.32
6,remodel,1,1.05
6,enlarg,1,0.85
6,exist,1,0.4
6,structur,1,0.32
6,doe,2,0.93
6,make,1,0.33
6,case,2,0.86
6,studi,1,0.23
6,evalu,1,0.32
6,wa,1,0.24
6,done,1,0.58
6,ellsworth,1,1.05
6,mason,1,0.95
6,brown,1,0.95
6,yale,1,0.71
6,unsuccess,1,1.05
6,except,1,0.55
6,show,1,0.4
6,avoid,1,0.65
6,mistak,1,1.05
6,identifi,1,0.41
7,academ,1,0.25
7,librari,4,0.45
7,essay,1,0.37
7,honor,1,0.54
7,guy,2,1.27
7,r.,1,0.51
7,lyle,1,0.54
7,import,2,0.41
7,staff,2,0.59
7,member,1,0.29
7,individu,1,0.25
7,develop,1,0.14
7,wa,4,0.58
7,apprenticeship,1,0.63
7,administr,1,0.28
7,perhap,1,0.33
7,signific,1,0.24
7,attitud,1,0.35
7,one,1,0.15
7,acquir,1,0.36
7,work,1,0.17
7,engend,1,0.63
7,hi,5,1.21
7,insist,1,0.54
7,librarian,1,0.2
7,must,2,0.49
7,interest,1,0.22
7,knowledg,1,0.24
7,content,1,0.26
7,materi,2,0.45
7,dealt,1,0.41
7,love,1,0.63
7,literatur,1,0.18
7,respect,1,0.28
7,scholarship,1,0.45
7,admir,1,0.51
7,good,1,0.3
7,write,1,0.33
7,read,2,0.61
7,manifest,1,0.44
7,mani,1,0.19
7,way,1,0.21
7,notabl,1,0.46
7,admonit,1,0.63
7,though,1,0.34
7,primarili,2,0.61
7,research,2,0.28
7,constantli,1,0.46
7,keep,2,0.7
7,mind,1,0.37
7,oblig,1,0.46
7,collect,2,0.38
7,contemporari,1,0.39
7,poetri,1,0.57
7,fiction,1,0.63
7,belles-lett,1,0.63
7,felt,1,0.39
7,respons,1,0.28
7,well,1,0.22
7,gener,1,0.15
7,book,5,0.78
7,cross,1,0.48
7,disciplinari,1,0.49
7,line,1,0.29
7,fell,1,0.57
7,disciplin,1,0.28
7,faculti,1,0.36
7,mostli,1,0.48
7,concern,1,0.2
7,apt,1,0.51
7,overlook,1,0.46
7,build,1,0.32
7,thi,2,0.17
7,portion,1,0.43
7,substitut,1,0.41
7,thorough,1,0.44
7,acquaint,1,0.49
7,critic,1,0.28
7,review,1,0.23
7,themselv,1,0.33
7,counsel,1,0.57
7,presid,1,0.49
7,professor,1,0.44
7,colleg,1,0.29
7,thrust,1,0.57
7,need,1,0.17
7,world,1,0.27
7,publish,1,0.22
7,continu,1,0.27
7,impress,1,0.48
7,upon,1,0.27
7,u,1,0.3
8,access,2,0.86
8,librari,2,0.37
8,colleg,1,0.49
8,thi,1,0.15
8,studi,3,0.7
8,assum,1,0.52
8,addit,1,0.43
8,use,2,0.34
8,held,1,0.62
8,le,1,0.45
8,promis,1,0.65
8,analyt,1,0.65
8,consider,1,0.41
8,concept,2,0.68
8,basic,1,0.36
8,approach,2,0.71
8,wa,2,0.49
8,survey,1,0.37
8,compar,1,0.37
8,tradit,1,0.49
8,current,1,0.35
8,profession,1,0.44
8,idea,1,0.48
8,direct,2,0.91
8,princip,1,0.57
8,data-gath,1,1.05
8,instrument,1,0.62
8,documentari,2,1.55
8,analysi,2,0.58
8,opinion,1,0.59
8,questionnair,1,0.54
8,find,1,0.38
8,includ,1,0.33
8,follow,1,0.4
8,research,3,0.7
8,1890,1,1.05
8,1970,1,0.59
8,shelf,3,2.13
8,brow,2,1.59
8,left,1,0.67
8,problem,1,0.25
8,larg,1,0.32
8,unresolv,1,0.95
8,evid,1,0.53
8,resist,1,0.85
8,establish,1,0.39
8,method,1,0.27
8,user,1,0.29
8,need,1,0.28
8,exhaust,1,0.65
8,confirm,1,0.77
8,open,1,0.71
8,organ,1,0.33
8,classif,1,0.39
8,rel,1,0.41
8,locat,1,0.56
8,meant,1,0.82
8,arous,1,0.9
8,intellectu,1,0.58
8,social,1,0.36
8,polit,1,0.66
8,interest,1,0.36
8,averag,1,0.54
8,citizen,1,0.77
8,affect,1,0.5
8,hi,2,0.81
8,democrat,1,0.9
8,self-real,1,1.05
8,definit,1,0.48
8,vari,1,0.56
8,greatli,1,0.61
8,self-indulg,1,1.05
8,untutor,1,1.05
8,objection,1,1.05
8,work,1,0.28
8,benefici,1,0.82
8,self-educ,1,1.05
8,gener,1,0.25
8,reader,1,0.41
8,valuabl,1,0.6
8,guidanc,1,0.75
8,scholar,1,0.65
9,access,4,1.04
9,period,5,1.15
9,resourc,2,0.54
9,purpos,1,0.21
9,thi,2,0.17
9,studi,2,0.28
9,wa,1,0.15
9,develop,2,0.28
9,evalu,1,0.19
9,recommend,1,0.31
9,nation,2,0.43
9,plan,1,0.24
9,improv,2,0.45
9,48,1,0.51
9,percent,1,0.35
9,academ,1,0.25
9,interlibrari,2,0.87
9,loan,4,1.59
9,materi,2,0.45
9,bulk,1,0.54
9,satisfi,2,0.67
9,form,1,0.2
9,photocopi,2,0.87
9,major,1,0.21
9,consider,1,0.24
9,long-rang,1,0.49
9,system,2,0.23
9,possibl,1,0.19
9,augment,1,0.45
9,acquir,1,0.36
9,store,1,0.34
9,request,1,0.27
9,focus,1,0.37
9,physic,1,0.26
9,literatur,1,0.18
9,base,1,0.17
9,need,1,0.17
9,librari,2,0.22
9,commun,1,0.19
9,design,1,0.19
9,featur,1,0.31
9,includ,1,0.2
9,follow,1,0.24
9,servic,2,0.33
9,made,1,0.18
9,avail,1,0.22
9,user,1,0.17
9,without,1,0.27
9,ani,1,0.22
9,restrict,1,0.35
9,initi,1,0.31
9,confin,1,0.51
9,primarili,1,0.31
9,rapid,1,0.31
9,depend,1,0.3
9,deliveri,1,0.43
9,journal,2,0.42
9,articl,1,0.22
9,collect,2,0.38
9,center,1,0.25
9,comprehens,1,0.31
9,subject,1,0.17
9,coverag,1,0.33
9,exclud,1,0.43
9,onli,1,0.18
9,medicin,1,0.35
9,worthwhil,1,0.51
9,irrespect,1,0.54
9,languag,1,0.22
10,acquisit,4,1.57
10,librari,2,0.28
10,materi,2,0.56
10,scope,1,0.41
10,work,2,0.42
10,outlin,1,0.37
10,introduct,2,0.82
10,acknowledg,1,0.58
10,import,2,0.51
10,select,2,0.49
10,polici,1,0.38
10,serial,1,0.37
10,record,1,0.3
10,topic,3,1.17
10,kindr,1,0.79
10,discus,1,0.2
10,thi,2,0.22
10,book,3,0.58
10,onli,2,0.45
10,relat,1,0.22
10,obtain,1,0.3
10,examin,1,0.29
10,thoroughli,1,0.58
10,paper,1,0.2
10,cite,2,0.77
10,refer,4,1.0
10,bibliograph,1,0.26
10,note,1,0.4
10,central,2,0.77
10,autom,3,1.09
10,order,2,0.57
10,routin,1,0.55
10,major,1,0.26
10,review,1,0.29
10,chapter,2,0.74
10,concept,1,0.25
10,problem,1,0.19
10,manual,1,0.38
10,practic,1,0.25
10,treatment,1,0.46
10,particular,1,0.29
10,depth,1,0.48
10,reader,1,0.3
10,modest,1,0.54
10,enorm,1,0.53
10,literatur,1,0.22
11,acquisit,3,1.18
11,3,1,0.32
11,rd,1,0.72
11,world,2,0.67
11,ligu,1,0.79
11,de,2,1.34
11,bibliothequ,1,0.79
11,europeenn,1,0.79
11,recherch,1,0.79
11,liber,2,1.28
11,wa,4,0.73
11,set,2,0.57
11,1971,1,0.43
11,intern,1,0.31
11,non-government,1,0.72
11,organ,2,0.49
11,aim,1,0.37
11,establish,1,0.29
11,close,1,0.4
11,collabor,1,0.51
11,gener,3,0.56
11,research,1,0.18
11,librari,4,0.56
11,western,1,0.57
11,europ,2,1.23
11,particularli,1,0.38
11,nation,1,0.27
11,univers,2,0.48
11,particular,1,0.29
11,help,1,0.33
11,find,1,0.29
11,practic,1,0.25
11,way,1,0.27
11,improv,1,0.28
11,qualiti,1,0.39
11,servic,1,0.2
11,provid,1,0.21
11,second,1,0.35
11,meet,2,0.71
11,assembl,1,0.54
11,held,2,0.93
11,luxembourg,1,0.79
11,1972,1,0.49
11,decid,1,0.44
11,hold,1,0.4
11,seminar,3,1.66
11,materi,3,0.84
11,third,1,0.41
11,charg,1,0.44
11,intellectu,1,0.44
11,thi,1,0.11
11,purpos,1,0.27
11,would,1,0.28
11,examin,1,0.29
11,problem,1,0.19
11,avail,2,0.56
11,european,2,1.16
11,refer,1,0.25
11,lend,1,0.5
11,feasibl,1,0.41
11,centr,1,0.54
11,collect,1,0.24
11,loan,1,0.5
11,provis,1,0.48
11,bibliograph,1,0.26
11,inform,1,0.13
11,prefer,1,0.43
11,machine-read,1,0.45
11,form,1,0.25
11,basic,1,0.27
11,consider,1,0.3
11,whatev,1,0.51
11,mean,1,0.27
11,propos,1,0.3
11,acquir,1,0.45
11,public,1,0.24
11,area,1,0.27
11,council,1,0.48
11,made,1,0.23
11,grant,1,0.52
11,toward,1,0.33
11,cost,1,0.27
11,sussex,1,0.79
11,17,1,0.6
11,19,1,0.58
11,septemb,1,0.53
11,1973,1,0.54
12,ad695049,1,1.58
12,ever,1,1.0
12,pretend,1,1.43
12,expert,1,0.95
12,microfich,2,2.39
12,nevertheless,1,1.06
12,wa,1,0.37
12,invit,1,1.16
12,address,1,0.9
12,third,1,0.82
12,annual,1,0.83
12,northeastern,1,1.58
12,ddc,1,1.23
12,industri,1,0.63
12,user,2,0.86
12,confer,1,0.86
12,waltham,1,1.58
12,massachusett,1,1.28
12,april,1,1.08
12,1968,2,1.62
12,temer,1,1.58
12,attempt,1,0.55
12,describ,1,0.4
12,would,1,0.56
12,like,1,0.66
12,fich,1,1.43
12,reader,2,1.22
12,toward,1,0.66
12,uniform,1,1.11
12,feder,1,0.93
12,report,1,0.48
12,number,1,0.45
12,system,1,0.29
12,cuddli,1,1.58
12,two,1,0.44
12,modest,1,1.08
12,propos,1,0.61
12,revis,1,0.91
12,septemb,1,1.06
12,ad-669204,1,1.58
13,administr,3,0.6
13,colleg,4,0.83
13,librari,7,0.56
13,thi,1,0.06
13,book,4,0.44
13,ha,1,0.09
13,central,1,0.22
13,thesi,1,0.34
13,rest,1,0.35
13,upon,1,0.19
13,simpl,1,0.21
13,frequent,1,0.23
13,neglect,1,0.32
13,principl,1,0.19
13,servic,3,0.35
13,goe,1,0.31
13,beyond,1,0.28
13,commonli,1,0.3
13,accept,1,0.2
13,function,2,0.33
13,circul,2,0.46
13,storag,1,0.18
13,exist,1,0.17
13,mere,1,0.25
13,hous,1,0.29
13,materi,2,0.32
13,supplement,1,0.28
13,extend,2,0.48
13,teach,2,0.5
13,process,1,0.13
13,refer,2,0.29
13,afford,1,0.32
13,faculti,1,0.26
13,member,1,0.21
13,opportun,1,0.28
13,improv,1,0.16
13,instruct,1,0.26
13,encourag,1,0.28
13,student,1,0.19
13,read,2,0.44
13,better,1,0.21
13,essenti,1,0.22
13,activ,1,0.16
13,tool,1,0.2
13,fulli,1,0.24
13,effici,1,0.18
13,realiz,1,0.29
13,present,1,0.11
13,work,1,0.12
13,retain,1,0.37
13,first,1,0.14
13,edit,1,0.22
13,includ,1,0.14
13,substanti,1,0.25
13,revis,1,0.26
13,chapter,2,0.42
13,wa,1,0.1
13,plan,1,0.17
13,onli,1,0.13
13,text,1,0.18
13,also,1,0.13
13,independ,1,0.24
13,profession,1,0.19
13,becaus,1,0.18
13,reader,1,0.17
13,found,1,0.17
13,footnot,1,0.35
13,bibliographi,1,0.21
13,use,1,0.07
13,purpos,1,0.15
13,brought,1,0.26
13,date,1,0.25
13,case,1,0.18
14,inform,2,0.25
14,flow,1,0.4
14,research,2,0.35
14,develop,2,0.34
14,laboratori,4,1.81
14,technic,3,0.82
14,commun,3,0.7
14,pattern,1,0.31
14,two,2,0.44
14,examin,1,0.29
14,use,2,0.25
14,modifi,1,0.5
14,sociometr,2,1.28
14,techniqu,1,0.25
14,structur,2,0.49
14,network,2,0.69
14,result,1,0.19
14,interact,1,0.35
14,social,1,0.27
14,relat,1,0.22
14,work,1,0.21
14,star,1,0.79
14,provid,1,0.21
14,member,2,0.73
14,organ,2,0.49
14,either,1,0.35
14,make,1,0.25
14,greater,1,0.41
14,individu,1,0.31
14,outsid,1,0.47
14,read,1,0.38
14,literatur,1,0.22
15,adopt,1,0.4
15,librari,4,0.56
15,congress,2,0.83
15,classif,3,0.88
15,system,3,0.44
15,thi,2,0.22
15,manual,1,0.38
15,design,1,0.23
15,make,2,0.5
15,possibl,1,0.24
15,ani,2,0.55
15,chang,1,0.29
15,effici,1,0.32
15,detail,1,0.3
15,procedur,2,0.59
15,outlin,1,0.37
15,may,1,0.24
15,serv,1,0.33
15,exact,1,0.57
15,model,1,0.3
15,seri,2,0.74
15,suggest,1,0.26
15,step,1,0.4
15,proven,1,0.6
15,effect,2,0.48
15,actual,1,0.35
15,use,3,0.38
15,text,2,0.63
15,deal,1,0.32
15,necessari,1,0.33
15,criterion,1,0.35
15,plan,1,0.3
15,prepar,1,0.33
15,select,1,0.24
15,tool,1,0.35
15,establish,1,0.29
15,essenti,1,0.38
15,reclassif,1,0.72
15,project,1,0.3
15,beyond,1,0.48
15,consider,1,0.3
15,attent,1,0.34
15,ha,2,0.33
15,given,1,0.25
15,mani,1,0.23
15,problem,1,0.19
15,area,1,0.27
15,lc,1,0.51
15,classification-seri,1,0.79
15,biographi,1,0.67
15,bibliographi,3,1.1
15,law,1,0.44
15,pz3,1,0.79
15,pz4,1,0.79
15,addit,1,0.32
15,literatur,1,0.22
15,tabl,2,0.82
15,viiia,1,0.79
15,ixa,1,0.79
15,two,1,0.22
15,frequent,1,0.4
15,throughout,2,0.86
15,entir,1,0.42
15,class,1,0.37
15,thoroughli,1,0.58
15,explain,1,0.4
15,applic,1,0.26
15,illustr,1,0.37
15,comprehens,1,0.39
15,exampl,1,0.3
15,sinc,1,0.3
15,mechan,1,0.33
15,product,1,0.29
15,cost,1,0.27
15,catalogu,1,0.4
15,card,1,0.37
15,copi,2,0.9
15,significantli,1,0.49
15,affect,1,0.37
15,flow,1,0.4
15,book,2,0.39
15,user,1,0.22
15,chapter,1,0.37
15,devot,1,0.41
15,describ,1,0.2
15,xerox,1,0.67
15,machin,1,0.33
15,oper,1,0.23
15,final,1,0.35
15,annot,1,0.58
15,articl,1,0.27
15,judg,1,0.43
15,help,1,0.33
15,decid,1,0.44
15,reclassifi,1,0.79
15,includ,1,0.25
15,reader,1,0.3
15,wish,1,0.48
15,delv,1,0.79
15,deepli,1,0.67
15,tortuou,1,0.79
15,frustrat,1,0.64
15,50,1,0.53
15,year,1,0.23
15,histori,1,0.37
15,concept,1,0.25
15,central,1,0.38
15,catalog,1,0.29
15,number,1,0.23
15,enclos,1,0.79
15,parenthes,1,0.79
15,refer,1,0.25
15,sourc,1,0.3
15,relat,1,0.22
15,support,1,0.34
15,argument,1,0.5
15,advanc,1,0.34
15,particular,1,0.29
15,case,1,0.32
16,adventur,1,0.3
16,librarianship,5,0.83
16,ha,8,0.59
16,long,1,0.2
16,need,2,0.19
16,continu,1,0.15
16,seri,3,0.49
16,provid,4,0.37
16,scholarli,1,0.23
16,review,4,0.51
16,rapidli,2,0.37
16,chang,3,0.38
16,advanc,7,1.05
16,field,3,0.31
16,would,1,0.12
16,select,1,0.11
16,subject,1,0.1
16,particular,1,0.13
16,current,2,0.23
16,signific,2,0.27
16,profess,1,0.18
16,analysi,2,0.19
16,made,2,0.2
16,research,3,0.23
16,practic,2,0.22
16,plan,2,0.27
16,design,1,0.1
16,fill,1,0.22
16,thi,7,0.34
16,present,3,0.25
16,critic,1,0.15
16,articl,7,0.84
16,survey,1,0.12
16,base,1,0.09
16,publish,1,0.12
16,literatur,1,0.1
16,progress,3,0.45
16,develop,4,0.31
16,librari,9,0.56
16,type,1,0.12
16,mechan,2,0.3
16,may,2,0.21
16,appear,2,0.28
16,obviou,2,0.49
16,front,1,0.27
16,autom,3,0.49
16,caught,1,0.35
16,enthusiast,1,0.32
16,support,1,0.15
16,librarian,1,0.11
16,visual,1,0.27
16,potenti,2,0.31
16,certainli,1,0.22
16,found,2,0.27
16,everi,1,0.17
16,volum,2,0.29
16,first,1,0.11
16,group,1,0.12
16,demonstr,2,0.36
16,technolog,1,0.13
16,direct,1,0.15
16,implic,1,0.17
16,problem,5,0.42
16,much,2,0.28
16,complex,2,0.32
16,simpl,1,0.17
16,inventori,1,0.22
16,mani,2,0.21
16,expert,1,0.21
16,expect,1,0.17
16,dedic,1,0.3
16,realiti,1,0.27
16,ass,1,0.17
16,go,1,0.2
16,fast,1,0.26
16,hope,1,0.16
16,get,1,0.21
16,machin,1,0.15
16,catalog,3,0.39
16,statu,1,0.19
16,machine-produc,1,0.32
16,book,1,0.09
16,lie,1,0.24
16,ahead,1,0.3
16,enter,1,0.22
16,age,1,0.2
16,marc,1,0.2
16,busi,1,0.19
16,method,2,0.18
16,greater,1,0.18
16,applic,2,0.23
16,easier,1,0.25
16,report,1,0.11
16,acquisit,1,0.17
16,process,1,0.1
16,even,1,0.14
16,area,1,0.12
16,gener,1,0.08
16,accept,1,0.16
16,standard,3,0.42
16,futur,1,0.13
16,past,2,0.3
16,one,1,0.08
16,major,2,0.23
16,immedi,1,0.2
16,import,2,0.23
16,computer,1,0.17
16,inform,1,0.06
16,discus,1,0.09
16,file,1,0.13
16,system,2,0.13
16,comput,1,0.1
16,manipul,1,0.21
16,detail,1,0.13
16,suggest,1,0.12
16,possibl,2,0.22
16,solut,1,0.16
16,year,2,0.2
16,technic,2,0.24
16,servic,4,0.36
16,cost,3,0.35
16,defend,1,0.32
16,without,1,0.15
16,adequ,1,0.17
16,knowledg,1,0.13
16,fact,1,0.15
16,procedur,1,0.13
16,propos,1,0.14
16,determin,1,0.12
16,tradit,1,0.16
16,oper,1,0.1
16,becom,1,0.14
16,essenti,1,0.17
16,show,1,0.13
16,whi,1,0.2
16,difficult,1,0.19
16,school,2,0.3
16,widen,1,0.28
16,dimens,1,0.23
16,materi,1,0.13
16,reflect,1,0.17
16,new,2,0.19
16,name,1,0.16
16,instruct,1,0.2
16,medium,1,0.18
16,center,1,0.14
16,togeth,1,0.17
16,teach,1,0.2
16,well,1,0.12
16,child,1,0.27
16,public,1,0.11
16,two,1,0.1
16,make,2,0.22
16,clear,1,0.2
16,done,1,0.19
16,remain,1,0.18
16,rule,1,0.16
16,rather,1,0.15
16,except,1,0.18
16,bibliotherapi,1,0.35
16,exampl,1,0.13
16,slow,1,0.27
16,illustr,1,0.17
16,theori,2,0.24
16,manageri,1,0.25
16,concept,1,0.11
16,come,1,0.18
16,administr,1,0.16
16,provoc,1,0.32
16,controversi,1,0.23
16,countri,2,0.34
16,depth,1,0.22
16,effort,1,0.14
16,degre,1,0.17
16,success,1,0.16
16,assist,1,0.19
16,modern,1,0.18
16,world,1,0.15
17,select,2,0.65
17,dissemin,2,0.9
17,inform,2,0.34
17,present,1,0.25
17,contribut,1,0.47
17,doe,1,0.46
17,duplic,1,0.62
17,previou,1,0.52
17,studi,1,0.23
17,complement,1,0.74
17,earlier,1,0.54
17,public,1,0.32
17,close,1,0.53
17,gap,1,0.68
17,exist,1,0.4
17,literatur,2,0.59
17,prior,1,0.64
17,1966,1,0.61
17,1971,1,0.58
17,addit,1,0.43
17,bold,1,0.95
17,attempt,1,0.37
17,evalu,1,0.32
17,critic,1,0.46
